event_time,screen,duration,device_id,session_id,date
2025-11-04 00:56:37.556,Home,2.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:56:37.982,Forest,0.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:56:37.983,MissionModal,0.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:56:40.673,Rank,3.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:56:41.826,Home,1.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:56:45.203,OXQuiz,,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:56:45.203,Forest,3.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:56:45.204,MissionModal,3.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:17.862,OXQuiz,33.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:17.862,OXQuiz,,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:18.651,OXQuiz,1.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:18.651,OXQuiz,,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:18.652,OXQuiz,,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:20.363,OXQuiz,2.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:20.363,OXQuiz,,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:24.291,MultipleQuiz,,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:24.292,Forest,4.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:24.292,MissionModal,4.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:29.841,MultipleQuiz,6.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:29.842,MultipleQuiz,,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:30.553,MultipleQuiz,1.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:30.554,MultipleQuiz,,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:30.555,MultipleQuiz,,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:32.828,MultipleQuiz,2.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:32.829,MultipleQuiz,,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:37.053,Forest,4.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:37.053,MissionModal,4.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:41.752,Rank,5.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:49.904,Home,8.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:50.809,Forest,1.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:50.809,MissionModal,1.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:53.085,Rank,2.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:56.315,Home,3.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:57:58.914,Rank,3.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
2025-11-04 00:58:06.015,Home,2.0,a9ff6e8c-48e3-4116-b7f0-22b1844af636,1762217789334,2025-11-04
